time,gFx,gFy,gFz,gFTotal
0.014382123947143555,-0.1351165771484375,-0.46820068359375,-0.7922515869140625,0.93
0.01693415641784668,-0.1247100830078125,-0.4524688720703125,-0.8498077392578125,0.971
0.02565312385559082,-0.114105224609375,-0.4580841064453125,-0.881134033203125,1.0
0.03887796401977539,-0.1057586669921875,-0.4687042236328125,-0.8829345703125,1.005
0.04687309265136719,-0.100799560546875,-0.465576171875,-0.8893280029296875,1.009
0.05895209312438965,-0.103240966796875,-0.454010009765625,-0.89886474609375,1.012
0.06588125228881836,-0.1052093505859375,-0.442535400390625,-0.9111480712890625,1.018
0.07974910736083984,-0.1006927490234375,-0.425994873046875,-0.91864013671875,1.018
0.08570408821105957,-0.103729248046875,-0.4282073974609375,-0.921356201171875,1.021
0.09569311141967773,-0.10870361328125,-0.4297637939453125,-0.9270782470703125,1.028
0.10570526123046875,-0.108795166015625,-0.425140380859375,-0.9305419921875,1.029
0.11565923690795898,-0.1094818115234375,-0.4234466552734375,-0.921478271484375,1.02
0.12594127655029297,-0.1089630126953125,-0.4277496337890625,-0.9156494140625,1.016
0.1357860565185547,-0.1054534912109375,-0.4393768310546875,-0.909423828125,1.015
0.14613103866577148,-0.101837158203125,-0.45013427734375,-0.8927764892578125,1.005
0.15601396560668945,-0.1127777099609375,-0.4567413330078125,-0.88092041015625,0.999
0.16582918167114258,-0.124481201171875,-0.462127685546875,-0.8827972412109375,1.004
0.1758279800415039,-0.12945556640625,-0.461181640625,-0.8742523193359375,0.997
0.18594694137573242,-0.1330718994140625,-0.4639434814453125,-0.870025634765625,0.995
0.19589900970458984,-0.134063720703125,-0.461273193359375,-0.8609619140625,0.986
0.20633506774902344,-0.13702392578125,-0.4596099853515625,-0.858642578125,0.984
0.21640515327453613,-0.1365203857421875,-0.46112060546875,-0.85736083984375,0.983
0.2302250862121582,-0.137969970703125,-0.4640045166015625,-0.85760498046875,0.985
0.23624110221862793,-0.14495849609375,-0.4725494384765625,-0.8668975830078125,0.998
0.2462460994720459,-0.14654541015625,-0.47235107421875,-0.8694305419921875,1.0
0.2563152313232422,-0.1484527587890625,-0.4647674560546875,-0.8656158447265625,0.994
0.26627302169799805,-0.1560211181640625,-0.4562225341796875,-0.858856201171875,0.985
0.27716493606567383,-0.165069580078125,-0.4488372802734375,-0.8368377685546875,0.964
0.2868781089782715,-0.1735687255859375,-0.4411163330078125,-0.8194122314453125,0.947
0.29804515838623047,-0.178558349609375,-0.4515380859375,-0.8438873291015625,0.974
0.30684804916381836,-0.1713409423828125,-0.467681884765625,-0.880889892578125,1.012
0.31667518615722656,-0.1697235107421875,-0.475677490234375,-0.9109039306640625,1.042
0.3268890380859375,-0.159576416015625,-0.476470947265625,-0.92999267578125,1.057
0.338468074798584,-0.1397857666015625,-0.482818603515625,-0.9426116943359375,1.068
0.3471412658691406,-0.1210784912109375,-0.4788665771484375,-0.9207763671875,1.045
0.3580660820007324,-0.1075286865234375,-0.4800872802734375,-0.891357421875,1.018
0.3668520450592041,-0.1079864501953125,-0.475128173828125,-0.8619842529296875,0.99
0.3782482147216797,-0.104827880859375,-0.46661376953125,-0.873687744140625,0.996
0.38742494583129883,-0.1132659912109375,-0.4718780517578125,-0.908355712890625,1.03
0.39929914474487305,-0.136810302734375,-0.4859466552734375,-0.9122314453125,1.043
0.40729808807373047,-0.1496734619140625,-0.4843292236328125,-0.9171600341796875,1.048
0.4167160987854004,-0.148040771484375,-0.481231689453125,-0.8983917236328125,1.03
0.4267311096191406,-0.16259765625,-0.49591064453125,-0.8319244384765625,0.982
0.43678808212280273,-0.1868896484375,-0.5186920166015625,-0.67413330078125,0.871
0.44733214378356934,-0.1778717041015625,-0.511749267578125,-0.6049957275390625,0.812
0.4572591781616211,-0.1673431396484375,-0.4483489990234375,-0.78460693359375,0.919
0.4669809341430664,-0.147705078125,-0.4176177978515625,-0.9133758544921875,1.015
0.4772791862487793,-0.1336669921875,-0.3762664794921875,-0.9935760498046875,1.071
0.4873220920562744,-0.1128692626953125,-0.3484039306640625,-0.9790802001953125,1.045
0.49745893478393555,-0.1015625,-0.3658294677734375,-0.896026611328125,0.973
0.508091926574707,-0.119232177734375,-0.41729736328125,-0.861572265625,0.965
0.5172061920166016,-0.13690185546875,-0.4789581298828125,-0.8983154296875,1.027
0.5293171405792236,-0.18243408203125,-0.5422515869140625,-0.9527435302734375,1.111
0.5383520126342773,-0.2132415771484375,-0.5794677734375,-0.959808349609375,1.141
0.5505580902099609,-0.20391845703125,-0.5813446044921875,-0.9196929931640625,1.107
0.55731201171875,-0.1601104736328125,-0.5801239013671875,-0.8769989013671875,1.064
0.5714449882507324,-0.113800048828125,-0.5727386474609375,-0.836700439453125,1.02
0.5772700309753418,-0.085479736328125,-0.5640716552734375,-0.776031494140625,0.963
0.587395191192627,-0.05889892578125,-0.582977294921875,-0.745697021484375,0.948
0.5976381301879883,-0.0376129150390625,-0.5950469970703125,-0.732757568359375,0.945
0.6075241565704346,-0.0409088134765625,-0.5986785888671875,-0.74639892578125,0.958
0.617466926574707,-0.059326171875,-0.6329498291015625,-0.7725067138671875,1.0
0.6276860237121582,-0.081298828125,-0.659515380859375,-0.77984619140625,1.025
0.6394431591033936,-0.0729217529296875,-0.6494140625,-0.743408203125,0.99
0.6476850509643555,-0.04736328125,-0.6387939453125,-0.72406005859375,0.967
0.6586251258850098,-0.0264129638671875,-0.625,-0.739715576171875,0.969
0.6678891181945801,-0.0115966796875,-0.639556884765625,-0.7412261962890625,0.979
0.6817560195922852,0.007904052734375,-0.62677001953125,-0.738800048828125,0.969
